agent,null_variant,null_model,comparison_simulations,actual_trade_count,simulated_mean_trade_count,actual_mean_holding_bars,simulated_mean_holding_bars,actual_exposure_share,simulated_mean_exposure_share,actual_same_bar_turnover_share,simulated_mean_same_bar_turnover_share,actual_entry_trailing_return_mean,simulated_entry_trailing_return_mean,actual_entry_trailing_volatility_mean,simulated_entry_trailing_volatility_mean,ordered_durations_preserved,ordered_assets_preserved,same_bar_turnover_capability_preserved,lookback_bars_for_context,actual_cumulative_return,mean_simulated_return,std_simulated_return,actual_percentile,p_value,RCSI,RCSI_z,evidence_bucket,exposure_share_error,entry_trailing_return_shift,entry_trailing_volatility_shift
trend_pullback,structure_preserving,structure_preserving_random_timing,1000,79,79.0,5.468354430379747,5.468354430379747,0.09075503210871327,0.09075503210871323,0.0,0.0,0.0017698083812759265,-0.0018960316812602436,0.0024163507535536026,0.0030859210503988467,True,True,True,20,-0.03468845740245236,-0.054756913101169334,0.014727166562884357,92.4075924075924,0.07692307692307693,0.020068455698716972,1.3626827409757025,random_luck,-4.163336342344337e-17,-0.00366584006253617,0.0006695702968452441
trend_pullback,legacy,random_timing_matched_duration,1000,79,79.0,5.468354430379747,5.468354430379747,0.09075503210871327,0.09075503210871325,0.0,0.0,0.0017698083812759265,0.0014188976491361566,0.0024163507535536026,0.0029567360681500617,False,True,True,20,-0.03468845740245236,-0.0010250915137054943,0.0676994518658249,32.06793206793207,0.6803196803196803,-0.03366336588874687,-0.4972472444158789,random_luck,-2.7755575615628914e-17,-0.0003509107321397699,0.0005403853145964591
breakout_volume_momentum,structure_preserving,structure_preserving_random_timing,1000,85,85.0,9.952941176470588,9.952941176470588,0.17771602672529607,0.17771602672529602,0.0,0.0,0.012562847570905084,0.0005415572740740757,0.003129574050898441,0.002873087730192677,True,True,True,20,0.032467732166253434,-0.049067130504248054,0.01877159230504617,99.9000999000999,0.001998001998001998,0.08153486267050149,4.343524051957134,strong_skill,-5.551115123125783e-17,-0.012021290296831008,-0.0002564863207057638
breakout_volume_momentum,legacy,random_timing_matched_duration,1000,85,85.0,9.952941176470588,9.952941176470588,0.17771602672529607,0.17771602672529602,0.0,0.0,0.012562847570905084,0.001650201897177087,0.003129574050898441,0.0029701957776287467,False,True,True,20,0.032467732166253434,0.02555243751666727,0.08993494974506794,53.04695304695305,0.47052947052947053,0.006915294649586165,0.07689218339687127,random_luck,-5.551115123125783e-17,-0.010912645673727997,-0.00015937827326969415
mean_reversion_vol_filter,structure_preserving,structure_preserving_random_timing,1000,31,31.0,4.225806451612903,4.225806451612903,0.02751397804455314,0.027513978044553137,0.0,0.0,-0.014478815435090388,-0.0063062984382715025,0.003168589269574316,0.003933300876650792,True,True,True,20,-0.06988916100140215,-0.02756091675289312,0.02029996694467495,0.8991008991008992,0.9920079920079921,-0.04232824424850903,-2.0851385799725404,negative_skill,-3.469446951953614e-18,0.008172516996818886,0.0007647116070764758
mean_reversion_vol_filter,legacy,random_timing_matched_duration,1000,31,31.0,4.225806451612903,4.225806451612903,0.02751397804455314,0.027513978044553137,0.0,0.0,-0.014478815435090388,0.0031119658874370314,0.003168589269574316,0.0029008913328300674,False,True,True,20,-0.06988916100140215,0.007004860189095497,0.037091041113581885,2.197802197802198,0.9790209790209791,-0.07689402119049764,-2.0731157412117187,negative_skill,-3.469446951953614e-18,0.01759078132252742,-0.0002676979367442485
momentum_relative_strength,structure_preserving,structure_preserving_random_timing_shared_calendar,1000,294,294.0,10.27891156462585,10.27891156462585,0.6362656167881131,0.636265616788113,0.3242320819112628,0.3110648464163822,0.012142151482670931,0.002059887439776095,0.0035103084786301452,0.00413518968383131,True,True,True,20,-0.12687637781991368,-0.03328421656285318,0.020252343011272274,0.0999000999000999,1.0,-0.09359216125706049,-4.621300419658502,negative_skill,-1.1102230246251565e-16,-0.010082264042894836,0.000624881205201165
momentum_relative_strength,legacy,random_peer_rotation_matched_duration,1000,294,294.0,10.27891156462585,10.27891156462585,0.6362656167881131,0.636265616788113,0.3242320819112628,0.0,0.012142151482670931,0.0012234907485175182,0.0035103084786301452,0.003714247762322165,False,False,False,20,-0.12687637781991368,0.046378890850301877,0.187271539196289,18.38161838161838,0.8171828171828172,-0.17325526867021557,-0.9251553621750166,random_luck,-1.1102230246251565e-16,-0.010918660734153414,0.00020393928369201973
random,structure_preserving,structure_preserving_random_timing,1000,90,90.0,12.122222222222222,12.122222222222222,0.22922674145252342,0.2292267414525235,0.0,0.0,0.001793662103507108,-0.00022948647807429634,0.0029778006485394475,0.0028215250624527045,True,True,True,20,0.1824964733542533,-0.011824828638740778,0.024445375098816897,100.0,0.000999000999000999,0.19432130199299408,7.94920516488204,strong_skill,8.326672684688674e-17,-0.0020231485815814043,-0.00015627558608674293
random,legacy,random_timing_matched_duration,1000,90,90.0,12.122222222222222,12.122222222222222,0.22922674145252342,0.22922674145252347,0.0,0.0,0.001793662103507108,0.00177901289086698,0.0029778006485394475,0.0029634562055517667,False,True,True,20,0.1824964733542533,0.048401879297654916,0.10331825462953811,89.71028971028971,0.1038961038961039,0.1340945940565984,1.2978790102234412,random_luck,5.551115123125783e-17,-1.4649212640127987e-05,-1.4344442987680728e-05
