anchor_ticker,asset_class,asset_class_label,selection_source,selection_reason,fallback_rule,universe_position,universe_ticker,included_in_aligned_universe,aligned_rows
NVAX,us_equity_stock,US equity stock,asset_class_default,Using the US equity stock peer universe so relative-strength ranking stays within a sensible asset class. The anchor ticker is excluded by default to avoid self-referential ranking and to keep cross-anchor validations more independent.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",1,AAPL,True,7312
NVAX,us_equity_stock,US equity stock,asset_class_default,Using the US equity stock peer universe so relative-strength ranking stays within a sensible asset class. The anchor ticker is excluded by default to avoid self-referential ranking and to keep cross-anchor validations more independent.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",2,MSFT,True,7312
NVAX,us_equity_stock,US equity stock,asset_class_default,Using the US equity stock peer universe so relative-strength ranking stays within a sensible asset class. The anchor ticker is excluded by default to avoid self-referential ranking and to keep cross-anchor validations more independent.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",3,INTC,True,7312
NVAX,us_equity_stock,US equity stock,asset_class_default,Using the US equity stock peer universe so relative-strength ranking stays within a sensible asset class. The anchor ticker is excluded by default to avoid self-referential ranking and to keep cross-anchor validations more independent.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",4,CSCO,True,7312
NVAX,us_equity_stock,US equity stock,asset_class_default,Using the US equity stock peer universe so relative-strength ranking stays within a sensible asset class. The anchor ticker is excluded by default to avoid self-referential ranking and to keep cross-anchor validations more independent.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",5,JPM,True,7312
NVAX,us_equity_stock,US equity stock,asset_class_default,Using the US equity stock peer universe so relative-strength ranking stays within a sensible asset class. The anchor ticker is excluded by default to avoid self-referential ranking and to keep cross-anchor validations more independent.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",6,XOM,True,7312
NVAX,us_equity_stock,US equity stock,asset_class_default,Using the US equity stock peer universe so relative-strength ranking stays within a sensible asset class. The anchor ticker is excluded by default to avoid self-referential ranking and to keep cross-anchor validations more independent.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",7,JNJ,True,7312
NVAX,us_equity_stock,US equity stock,asset_class_default,Using the US equity stock peer universe so relative-strength ranking stays within a sensible asset class. The anchor ticker is excluded by default to avoid self-referential ranking and to keep cross-anchor validations more independent.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",8,PG,True,7312
NVAX,us_equity_stock,US equity stock,asset_class_default,Using the US equity stock peer universe so relative-strength ranking stays within a sensible asset class. The anchor ticker is excluded by default to avoid self-referential ranking and to keep cross-anchor validations more independent.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",9,WMT,True,7312
NVAX,us_equity_stock,US equity stock,asset_class_default,Using the US equity stock peer universe so relative-strength ranking stays within a sensible asset class. The anchor ticker is excluded by default to avoid self-referential ranking and to keep cross-anchor validations more independent.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",10,KO,True,7312
NVAX,us_equity_stock,US equity stock,asset_class_default,Using the US equity stock peer universe so relative-strength ranking stays within a sensible asset class. The anchor ticker is excluded by default to avoid self-referential ranking and to keep cross-anchor validations more independent.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",11,HD,True,7312
