agent,null_variant,null_model,comparison_simulations,actual_trade_count,simulated_mean_trade_count,actual_mean_holding_bars,simulated_mean_holding_bars,actual_exposure_share,simulated_mean_exposure_share,actual_same_bar_turnover_share,simulated_mean_same_bar_turnover_share,actual_entry_trailing_return_mean,simulated_entry_trailing_return_mean,actual_entry_trailing_volatility_mean,simulated_entry_trailing_volatility_mean,ordered_durations_preserved,ordered_assets_preserved,same_bar_turnover_capability_preserved,lookback_bars_for_context,actual_cumulative_return,mean_simulated_return,std_simulated_return,actual_percentile,p_value,RCSI,RCSI_z,evidence_bucket,exposure_share_error,entry_trailing_return_shift,entry_trailing_volatility_shift
trend_pullback,structure_preserving,structure_preserving_random_timing,1000,89,89.0,4.685393258426966,4.685393258426966,0.08755911299670108,0.08755911299670106,0.0,0.0,0.0025217040039952005,0.002178749485413904,0.0035193830521775683,0.004025773330195833,True,True,True,20,-0.06686300551333932,0.01468822331586469,0.08909038539919664,17.982017982017982,0.8211788211788211,-0.08155122882920401,-0.9153763165776965,random_luck,-1.3877787807814457e-17,-0.0003429545185812963,0.0005063902780182649
trend_pullback,legacy,random_timing_matched_duration,1000,89,89.0,4.685393258426966,4.685393258426966,0.08755911299670108,0.08755911299670106,0.0,0.0,0.0025217040039952005,0.001841317755686593,0.0035193830521775683,0.004055174965890835,False,True,True,20,-0.06686300551333932,-0.0008414382305002228,0.09086685058054476,23.076923076923077,0.7702297702297702,-0.0660215672828391,-0.7265748384700238,random_luck,-1.3877787807814457e-17,-0.0006803862483086075,0.0005357919137132668
breakout_volume_momentum,structure_preserving,structure_preserving_random_timing,1000,100,100.0,9.33,9.33,0.19600308566493557,0.1960030856649356,0.0,0.0,0.017404163254352886,0.0020773685322222767,0.003973418581679183,0.004034375361789834,True,True,True,20,0.09522613891588635,0.0668047730725842,0.12847757370898907,62.73726273726273,0.37362637362637363,0.028421365843302154,0.22121655182933783,random_luck,2.7755575615628914e-17,-0.01532679472213061,6.095678011065059e-05
breakout_volume_momentum,legacy,random_timing_matched_duration,1000,100,100.0,9.33,9.33,0.19600308566493557,0.1960030856649356,0.0,0.0,0.017404163254352886,0.002079412886949578,0.003973418581679183,0.0040408998061179134,False,True,True,20,0.09522613891588635,0.03893361805670191,0.1311011690546854,69.33066933066932,0.3076923076923077,0.056292520859184444,0.42938229510145326,random_luck,2.7755575615628914e-17,-0.015324750367403307,6.748122443873007e-05
mean_reversion_vol_filter,structure_preserving,structure_preserving_random_timing,1000,30,30.0,3.8666666666666667,3.8666666666666667,0.02434733749787499,0.02434733749787499,0.0,0.0,-0.018199697388195688,0.0012673431191565245,0.004113205402197544,0.00404040672416423,True,True,True,20,-0.03830940689399173,-0.00475131193635621,0.048105210157315136,22.27772227772228,0.7782217782217782,-0.03355809495763552,-0.6975979285381523,random_luck,0.0,0.019467040507352214,-7.279867803331418e-05
mean_reversion_vol_filter,legacy,random_timing_matched_duration,1000,30,30.0,3.8666666666666667,3.8666666666666667,0.02434733749787499,0.024347337497874988,0.0,0.0,-0.018199697388195688,0.0024446596372421684,0.004113205402197544,0.004161574827569307,False,True,True,20,-0.03830940689399173,0.0006228644262361394,0.05168442791949101,22.877122877122876,0.7722277722277723,-0.03893227132022787,-0.7532688836349856,random_luck,-3.469446951953614e-18,0.020644357025437855,4.836942537176248e-05
momentum_relative_strength,structure_preserving,structure_preserving_random_timing_shared_calendar,1000,289,289.0,10.40484429065744,10.40484429065744,0.6331633418008413,0.6331633418008414,0.3194444444444444,0.3194444444444446,0.012325942066803153,0.0023722100529646097,0.0035102188186526147,0.0038332641064274756,True,True,True,20,-0.09715667705631398,0.47298242255795314,0.4168030538934245,4.195804195804196,0.9590409590409591,-0.5701390996142671,-1.3678860898174952,random_luck,1.1102230246251565e-16,-0.009953732013838543,0.0003230452877748609
momentum_relative_strength,legacy,random_peer_rotation_matched_duration,1000,289,289.0,10.40484429065744,10.40484429065744,0.6331633418008413,0.6331633418008414,0.3194444444444444,0.0,0.012325942066803153,0.0011945639090463307,0.0035102188186526147,0.0035953688877164627,False,False,False,20,-0.09715667705631398,0.058253289978461624,0.1898501650990456,20.47952047952048,0.7962037962037962,-0.1554099670347756,-0.81859274103711,random_luck,1.1102230246251565e-16,-0.011131378157756822,8.515006906384794e-05
random,structure_preserving,structure_preserving_random_timing,1000,90,90.0,12.122222222222222,12.122222222222222,0.22922501797253106,0.2292250179725311,0.0,0.0,0.0019545267974826175,0.0017249356422221784,0.004044161695665318,0.004026760436534952,True,True,True,20,0.16874737442633836,0.06971009087939656,0.13747482748308404,76.82317682317682,0.23276723276723277,0.0990372835469418,0.7204030393064368,random_luck,2.7755575615628914e-17,-0.00022959115526043918,-1.7401259130365825e-05
random,legacy,random_timing_matched_duration,1000,90,90.0,12.122222222222222,12.122222222222222,0.22922501797253106,0.22922501797253103,0.0,0.0,0.0019545267974826175,0.002292986793439376,0.004044161695665318,0.004041073005054273,False,True,True,20,0.16874737442633836,0.05508546154962832,0.13981161701452077,79.72027972027972,0.2037962037962038,0.11366191287671004,0.812964725705913,random_luck,-2.7755575615628914e-17,0.0003384599959567586,-3.0886906110449627e-06
