agent,actual_cumulative_return,median_simulated_return,mean_simulated_return,std_simulated_return,actual_percentile,RCSI,RCSI_z,simulation_count,bh_adjusted_p_value,research_grade
connors_rsi2_pullback,0.6814499846386602,0.0981571908047712,0.1187760143108504,0.2533426049078955,97.50124937531236,0.5626739703278099,2.2210001769436842,2000,0.2548725637181409,False
uptrend_oversold_reversion,0.3310889384728778,0.1121526013845589,0.1295540379697173,0.2373137437276219,81.6591704147926,0.2015349005031605,0.8492340027911457,2000,0.8670664667666167,False
turn_of_month_seasonality,0.6238168546406927,0.4300823842560625,0.516690693120537,0.559076088216663,64.7176411794103,0.10712616152015575,0.19161284801477743,2000,0.8670664667666167,False
mean_reversion_vol_filter,0.0432697886687554,0.0140794229555055,0.0144120087274171,0.0727515361455882,66.16691654172914,0.028857779941338303,0.39666213897654307,2000,0.8670664667666167,False
volatility_squeeze_breakout,0.0251086672959301,0.1180103493850408,0.1289896672330177,0.2065384108974632,32.18390804597701,-0.10388099993708759,-0.5029621341894595,2000,0.8670664667666167,False
breakout_volume_momentum,0.1786119186770025,0.3846570658270571,0.47985425524707,0.5239029956814201,30.684657671164416,-0.3012423365700675,-0.5749964001985776,2000,0.8670664667666167,False
trend_momentum_verification,1.1825554324065486,1.3078293297733,1.5489877323945462,1.2210379261256312,44.07796101949025,-0.36643229998799765,-0.3000990322640444,2000,0.8670664667666167,False
trend_pullback,0.4792670698617144,0.7209077904842942,0.8497378736469302,0.7740755289273662,36.33183408295852,-0.3704708037852158,-0.47859774652555664,2000,0.8670664667666167,False
adx_trend_following,0.3824969719835584,1.2222553881716625,1.4187400283041476,1.0609987298656045,13.243378310844578,-1.036243056320589,-0.9766675747593485,2000,0.9645177411294352,False
random,0.1825274521084387,1.8591479076998132,2.206063853425277,1.6257362560910495,3.3983008495752123,-2.0235364013168384,-1.244689225411179,2000,0.9665167416291854,False
