candidate_id,candidate_name,candidate_family,is_control,ticker,split,split_start,split_end,split_rows,signal_count,rejected_signal_count,trade_count,average_holding_bars,actual_cumulative_return,mean_simulated_return,median_simulated_return,std_simulated_return,RCSI,RCSI_z,p_value,percentile,classification_raw,classification_raw_label,simulation_count,research_grade,null_model,seed,bh_adjusted_p_value_by_ticker_split,bh_adjusted_p_value_by_split_global,classification_bh_by_ticker_split,classification_bh_by_ticker_split_label,classification_bh_by_split_global,classification_bh_by_split_global_label
cand_bb_squeeze_breakout,Bollinger Squeeze Breakout,breakout,False,BTC-USD,holdout,2024-02-13,2026-04-02,780,6,0,6,8.333333333333334,0.08413076318494345,0.044702655552170734,0.04425487957156137,0.15927331212456222,0.03942810763277271,0.2475499950797616,0.38972205558888223,61.04779044191162,random_luck,Random / Luck,5000,True,structure_preserving_random_timing,20342481,0.786985460050847,0.9922794202221503,random_luck,Random / Luck,random_luck,Random / Luck
cand_breakout_20_volume,20-Day Breakout + Volume Confirmation,breakout,False,BTC-USD,holdout,2024-02-13,2026-04-02,780,20,0,20,10.85,-0.04987984705142169,0.29956637592016794,0.24496486601967948,0.38427114237539556,-0.3494462229715896,-0.9093740966637943,0.8268346330733853,17.336532693461308,negative_skill,Negative Skill,5000,True,structure_preserving_random_timing,20336777,0.997527767173838,0.9922794202221503,negative_skill,Negative Skill,negative_skill,Negative Skill
cand_donchian_55_breakout,Donchian 55-Day Breakout,breakout,False,BTC-USD,holdout,2024-02-13,2026-04-02,780,10,0,10,13.7,0.4481353787846091,0.10250314819592345,0.053620245867743374,0.3100477790782207,0.34563223058868564,1.1147708640786216,0.1295740851829634,87.06258748250349,weak_skill,Weak Skill,5000,True,structure_preserving_random_timing,20344626,0.7554739052189562,0.9922794202221503,random_luck,Random / Luck,random_luck,Random / Luck
control_existing_validation,Control: Existing Validation Strategy,control,True,BTC-USD,holdout,2024-02-13,2026-04-02,780,8,0,8,11.625,0.10154303058650048,0.10913202327897224,0.054751170671051085,0.2782355923828518,-0.007588992692471763,-0.027275420184306686,0.43071385722855426,56.94861027794441,random_luck,Random / Luck,5000,True,structure_preserving_random_timing,20355457,0.786985460050847,0.9922794202221503,random_luck,Random / Luck,random_luck,Random / Luck
control_random_baseline,Control: Random Baseline,control,True,BTC-USD,holdout,2024-02-13,2026-04-02,780,23,0,23,12.956521739130435,0.20372969276033523,0.21679246866291416,0.1491130397573574,0.4275995577158003,-0.013062775902578927,-0.03054908656210764,0.4407118576284743,55.94881023795241,random_luck,Random / Luck,5000,True,structure_preserving_random_timing,20337956,0.786985460050847,0.9922794202221503,random_luck,Random / Luck,random_luck,Random / Luck
existing_breakout_volume_momentum,Existing Strategy: Breakout + Volume + Momentum,existing_production,False,BTC-USD,holdout,2024-02-13,2026-04-02,780,19,0,19,8.736842105263158,-0.02115805037263581,0.17155915763911103,0.13066218406104357,0.32531604544558723,-0.19271720801174685,-0.592399946789532,0.7038592281543691,29.634073185362926,negative_skill,Negative Skill,5000,True,structure_preserving_random_timing,20384963,0.9261305633610121,0.9922794202221503,negative_skill,Negative Skill,negative_skill,Negative Skill
existing_mean_reversion_vol_filter,Existing Strategy: Mean Reversion + Volatility Filter,existing_production,False,BTC-USD,holdout,2024-02-13,2026-04-02,780,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,no_trades,No Trades,5000,True,structure_preserving_random_timing,20389380,1.0,1.0,no_trades,No Trades,no_trades,No Trades
existing_momentum_relative_strength,Existing Strategy: Momentum + Relative Strength,existing_production,False,BTC-USD,holdout,2024-02-13,2026-04-02,780,76,0,76,6.671052631578948,0.037823217529035114,2.985929248786196,0.4928266619863535,11.269237571105942,-2.948106031257161,-0.26160652064129297,0.6492701459708058,35.09298140371926,random_luck,Random / Luck,5000,True,structure_preserving_random_timing_shared_calendar,20395108,0.9017640916261193,0.9922794202221503,random_luck,Random / Luck,random_luck,Random / Luck
existing_trend_pullback,Existing Strategy: Trend + Pullback,existing_production,False,BTC-USD,holdout,2024-02-13,2026-04-02,780,13,0,13,14.0,-0.2587216110491064,0.1583720125835102,0.10510039924003897,0.326617473576711,-0.4170936236326166,-1.2770095214598367,0.9374125174965007,6.278744251149771,negative_skill,Negative Skill,5000,True,structure_preserving_random_timing,20338044,1.0,0.9972473590388304,negative_skill,Negative Skill,negative_skill,Negative Skill
cand_hybrid_trend_breakout_pullback,Hybrid Trend + Breakout/Pullback,hybrid,False,BTC-USD,holdout,2024-02-13,2026-04-02,780,15,0,15,12.866666666666667,0.039726730561313615,0.09919527681632562,0.05550024685357094,0.2939734200203742,-0.059468546255012,-0.20229225571104512,0.52249550089982,47.77044591081784,random_luck,Random / Luck,5000,True,structure_preserving_random_timing,20393582,0.8163992201559688,0.9922794202221503,random_luck,Random / Luck,random_luck,Random / Luck
cand_regime_filtered_momentum,Regime-Filtered Momentum,hybrid,False,BTC-USD,holdout,2024-02-13,2026-04-02,780,26,0,26,7.576923076923077,0.6033775223042099,0.14824642724120998,0.10925494295962125,0.3198349596634688,0.455131095063,1.423018595408989,0.09118176364727054,90.90181963607279,weak_skill,Weak Skill,5000,True,structure_preserving_random_timing,20364528,0.7554739052189562,0.9922794202221503,random_luck,Random / Luck,random_luck,Random / Luck
cand_mean_reversion_bbands,Bollinger Mean Reversion,mean_reversion,False,BTC-USD,holdout,2024-02-13,2026-04-02,780,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,no_trades,No Trades,5000,True,structure_preserving_random_timing,20350401,1.0,1.0,no_trades,No Trades,no_trades,No Trades
cand_mean_reversion_zscore,Z-Score Mean Reversion (Calm Regime),mean_reversion,False,BTC-USD,holdout,2024-02-13,2026-04-02,780,3,0,3,4.333333333333333,0.07448712904943218,0.006326076038801081,0.005343249159809818,0.08372910535281385,0.06816105301063109,0.8140664195970707,0.1891621675664867,81.10377924415117,weak_skill,Weak Skill,5000,True,structure_preserving_random_timing,20351335,0.7554739052189562,0.9922794202221503,random_luck,Random / Luck,random_luck,Random / Luck
cand_dual_momentum_trend_filter,Dual Momentum + Trend Filter,momentum,False,BTC-USD,holdout,2024-02-13,2026-04-02,780,71,0,71,4.563380281690141,0.36992303474865085,0.23494328991361418,0.17627879237826607,0.4136545528814773,0.13497974483503666,0.3263103086737011,0.3287342531493701,67.14657068586283,random_luck,Random / Luck,5000,True,structure_preserving_random_timing,20373998,0.786985460050847,0.9922794202221503,random_luck,Random / Luck,random_luck,Random / Luck
cand_medium_term_momentum_63,Medium-Term Momentum (63-Day),momentum,False,BTC-USD,holdout,2024-02-13,2026-04-02,780,26,0,26,8.884615384615385,0.5355829145135796,0.21135128945047385,0.16273766451065702,0.3599084497036865,0.32423162506310577,0.9008725005763172,0.17136572685462909,82.88342331533694,weak_skill,Weak Skill,5000,True,structure_preserving_random_timing,20356993,0.7554739052189562,0.9922794202221503,random_luck,Random / Luck,random_luck,Random / Luck
cand_trend_pullback_adx,Trend Pullback (ADX Confirmed),pullback,False,BTC-USD,holdout,2024-02-13,2026-04-02,780,18,0,18,6.944444444444445,-0.18382520803193625,0.08898099723089421,0.05467395479550237,0.2611464203247444,-0.27280620526283045,-1.0446484578405737,0.8602279544091181,13.997200559888023,negative_skill,Negative Skill,5000,True,structure_preserving_random_timing,20337736,0.997527767173838,0.9922794202221503,negative_skill,Negative Skill,negative_skill,Negative Skill
cand_trend_pullback_ema_rsi,Trend Pullback (EMA + RSI),pullback,False,BTC-USD,holdout,2024-02-13,2026-04-02,780,19,0,19,4.0,-0.16535550855046585,0.0564418127812191,0.03202128417812554,0.20442077730426747,-0.22179732133168495,-1.0850038056628344,0.8778244351129774,12.2375524895021,negative_skill,Negative Skill,5000,True,structure_preserving_random_timing,20354496,0.997527767173838,0.9922794202221503,negative_skill,Negative Skill,negative_skill,Negative Skill
cand_cross_asset_monthly_momentum,Cross-Asset Monthly Momentum Rotation,relative_strength_momentum,False,BTC-USD,holdout,2024-02-13,2026-04-02,780,9,0,9,15.555555555555555,1.410787656052443,0.3473489962655463,0.0774683679077572,1.112456356580899,1.0634386597868968,0.9559374203724661,0.09478104379124175,90.54189162167566,weak_skill,Weak Skill,5000,True,structure_preserving_random_timing_shared_calendar,20385175,0.7554739052189562,0.9922794202221503,random_luck,Random / Luck,random_luck,Random / Luck
cand_cross_asset_monthly_momentum_63,Cross-Asset Monthly Momentum (63/126),relative_strength_momentum,False,BTC-USD,holdout,2024-02-13,2026-04-02,780,8,0,8,42.0,0.037946175997127775,1.7005886955692266,0.2577626193118759,8.511185186397974,-1.6626425195720989,-0.1953479431077621,0.5914817036592681,40.871825634873026,random_luck,Random / Luck,5000,True,structure_preserving_random_timing_shared_calendar,20396670,0.8698260347930413,0.9922794202221503,random_luck,Random / Luck,random_luck,Random / Luck
cand_cross_asset_monthly_momentum_nostop,Cross-Asset Monthly Momentum (No Trailing Stop),relative_strength_momentum,False,BTC-USD,holdout,2024-02-13,2026-04-02,780,6,0,6,45.666666666666664,0.9658849593779646,0.8056361659746639,0.149265985167277,2.5634937577331005,0.16024879340330067,0.0625118719013417,0.2409518096380724,75.9248150369926,random_luck,Random / Luck,5000,True,structure_preserving_random_timing_shared_calendar,20424314,0.7554739052189562,0.9922794202221503,random_luck,Random / Luck,random_luck,Random / Luck
cand_tsmom_12m_filter,TSMOM 12M + Trend Filter,time_series_momentum,False,BTC-USD,holdout,2024-02-13,2026-04-02,780,25,0,25,10.24,0.4665439585753782,0.17300444689993263,0.12000578909709327,0.3652960915632511,0.29353951167544556,0.8035659796393391,0.1867626474705059,81.34373125374925,weak_skill,Weak Skill,5000,True,structure_preserving_random_timing,20329122,0.7554739052189562,0.9922794202221503,random_luck,Random / Luck,random_luck,Random / Luck
